TechID,Software,Groups,References
T1001,12,2,15
T1002,6,10,25
T1003,26,21,66
T1004,1,0,5
T1005,9,9,26
T1006,0,0,7
T1007,11,5,19
T1008,13,2,13
T1009,3,2,10
T1010,4,1,11
T1011,1,0,1
T1012,12,4,23
T1013,0,0,4
T1014,4,2,14
T1015,0,4,15
T1016,30,11,40
T1017,0,1,1
T1018,9,6,20
T1019,2,0,9
T1020,4,0,9
T1021,2,3,5
T1022,11,6,26
T1023,11,0,16
T1024,22,2,26
T1025,9,2,15
T1026,2,1,4
T1027,32,10,50
T1028,1,1,5
T1029,2,0,3
T1030,2,1,4
T1031,4,0,7
T1032,28,7,37
T1033,23,9,37
T1034,1,0,13
T1035,8,0,15
T1036,21,11,41
T1037,1,0,6
T1038,5,1,18
T1039,3,3,10
T1040,2,1,8
T1041,7,5,9
T1042,0,0,8
T1043,23,5,25
T1044,1,0,7
T1045,5,5,15
T1046,6,5,15
T1047,6,6,17
T1048,5,2,9
T1049,12,8,25
T1050,22,3,38
T1051,0,0,0
T1052,4,0,6
T1053,16,12,46
T1054,0,0,0
T1055,18,1,45
T1056,31,9,49
T1057,35,12,51
T1058,1,0,5
T1059,37,15,55
T1060,39,11,57
T1061,0,0,5
T1062,0,0,4
T1063,19,2,24
T1064,5,14,21
T1065,4,4,9
T1066,3,4,10
T1067,4,2,7
T1068,6,4,17
T1069,8,4,15
T1070,5,4,9
T1071,41,9,47
T1072,1,1,2
T1073,8,3,13
T1074,15,7,26
T1075,3,3,7
T1076,1,11,18
T1077,8,6,25
T1078,4,15,26
T1079,3,0,7
T1080,2,1,8
T1081,6,2,12
T1082,40,12,55
T1083,39,11,53
T1084,2,1,7
T1085,16,4,21
T1086,11,18,36
T1087,14,9,25
T1088,9,3,21
T1089,10,5,15
T1090,11,4,18
T1091,8,3,17
T1092,2,1,6
T1093,5,1,13
T1094,5,3,10
T1095,13,1,16
T1096,2,0,9
T1097,2,1,14
T1098,2,1,7
T1099,13,3,24
T1100,5,6,8
T1101,1,0,3
T1102,11,4,16
T1103,2,0,9
T1104,2,1,4
T1105,40,14,51
T1106,5,0,12
T1107,34,14,56
T1108,2,4,11
T1109,0,1,1
T1110,1,5,8
T1111,1,0,8
T1112,11,0,17
T1113,23,6,36
T1114,4,2,11
T1115,4,0,11
T1116,7,6,20
T1117,2,2,7
T1118,0,0,1
T1119,5,4,14
T1120,9,3,17
T1121,0,0,2
T1122,4,1,12
T1123,4,0,9
T1124,6,2,16
T1125,2,0,7
T1126,1,1,7
T1127,1,0,14
T1128,1,0,6
T1129,0,0,1
T1130,2,0,7
T1131,1,0,4
T1132,14,2,15
T1133,0,5,8
T1134,3,2,16
T1135,3,2,12
T1136,4,2,6
T1137,0,1,9
T1138,0,1,3
T1139,0,0,1
T1140,3,3,10
T1141,0,0,2
T1142,0,0,2
T1143,0,0,1
T1144,0,0,4
T1145,1,0,4
T1146,0,0,1
T1147,0,0,1
T1148,0,0,1
T1149,0,0,2
T1150,0,0,1
T1151,0,0,1
T1152,0,0,1
T1153,0,0,0
T1154,0,0,0
T1155,0,0,1
T1156,0,0,0
T1157,0,0,2
T1158,1,0,3
T1159,1,0,8
T1160,0,0,4
T1161,0,0,2
T1162,0,0,5
T1163,0,0,2
T1164,0,0,2
T1165,0,0,2
T1166,0,0,0
T1167,0,0,3
T1168,1,0,7
T1169,0,0,1
T1170,0,1,7
T1171,1,0,8
T1172,1,1,3
T1173,1,2,10
T1174,1,0,4
T1175,1,0,12
T1176,0,0,10
T1177,1,0,8
T1178,1,0,11
T1179,1,0,15
T1180,1,0,3
T1181,1,0,12
T1182,0,0,6
T1183,0,0,9
T1184,0,0,5
T1185,1,0,4
T1186,0,0,11
T1187,0,1,7
T1188,1,1,2
